676.42194	648	
678.18274	667	
679.94452	648	
681.70453	657	
683.46552	639	
685.22607	663	
686.98486	649	
688.74463	640	
690.50256	650	
692.26147	645	
694.01862	650	
695.77673	635	
697.53302	639	
699.29034	626	
701.04584	632	
702.80231	637	
704.55835	643	
706.31262	624	
708.06787	627	
709.82135	640	
711.57581	610	
713.32843	633	
715.08203	648	
716.83386	646	
718.58667	629	
720.33771	627	
722.08966	614	
723.83984	626	
725.59106	631	
727.34045	643	
729.09082	643	
730.83936	656	
732.58893	628	
734.33667	639	
736.08545	634	
737.8324	636	
739.58032	645	
741.32648	626	
743.07361	626	
744.81891	623	
746.56525	621	
748.30975	622	
750.05524	622	
751.79895	636	
753.54364	635	
755.28656	629	
757.03046	647	
758.77252	639	
760.51422	629	
762.2569	637	
763.9978	615	
765.73969	603	
767.47974	629	
769.22083	641	
770.96008	625	
772.70032	618	
774.43878	601	
776.17688	603	
777.91589	624	
779.6532	602	
781.39142	613	
783.12787	610	
784.8653	626	
786.60095	619	
788.33624	615	
790.07245	636	
791.80695	643	
793.54236	639	
795.276	661	
797.00928	628	
798.74347	611	
800.47595	625	
802.20935	629	
803.94104	614	
805.6723	616	
807.40448	606	
809.13495	602	
810.86639	605	
812.59601	598	
814.32526	590	
816.05554	619	
817.784	620	
819.51202	591	
821.24103	595	
822.96832	601	
824.69653	601	
826.42303	613	
828.14911	604	
829.8761	604	
831.60138	634	
833.32629	594	
835.05212	604	
836.77618	599	
838.49988	594	
840.22449	599	
841.94739	597	
843.66992	595	
845.39337	589	
847.11505	592	
848.83636	588	
850.55859	596	
852.27911	599	
853.99927	585	
855.72034	593	
857.43964	590	
859.15857	595	
860.87708	589	
862.59662	593	
864.31433	594	
866.03168	574	
867.75	597	
869.46655	597	
871.18268	586	
872.89844	594	
874.61517	579	
876.3302	582	
878.04474	568	
879.76031	583	
881.47412	572	
883.1875	583	
884.90051	566	
886.6145	571	
888.32672	579	
890.03851	567	
891.74994	587	
893.46234	552	
895.17303	581	
896.88324	563	
898.59314	568	
900.30396	583	
902.01306	580	
903.72174	568	
905.42999	572	
907.13794	581	
908.8468	577	
910.55389	570	
912.26062	578	
913.96698	573	
915.67426	577	
917.37982	590	
919.08502	577	
920.78979	568	
922.49414	569	
924.19952	578	
925.90314	560	
927.60632	574	
929.30914	583	
931.0116	568	
932.71362	560	
934.41663	562	
936.11792	566	
937.81879	581	
939.51923	579	
941.21936	581	
942.91907	588	
944.61975	578	
946.31866	575	
948.01721	582	
949.71533	582	
951.41315	584	
953.11047	585	
954.80884	563	
956.50543	555	
958.20166	560	
959.89746	590	
961.5929	555	
963.28796	571	
964.9826	560	
966.67688	560	
968.37213	559	
970.06561	572	
971.75879	568	
973.45148	567	
975.14386	567	
976.83582	563	
978.52734	539	
980.21857	562	
981.90936	555	
983.60107	564	
985.29114	555	
986.98077	553	
988.67004	555	
990.35889	554	
992.04736	573	
993.73547	565	
995.42322	561	
997.11053	577	
998.79749	552	
1000.4841	568	
1002.1702	556	
1003.856	573	
1005.5414	550	
1007.2278	579	
1008.9125	565	
1010.5967	576	
1012.2806	594	
1013.9641	610	
1015.6472	585	
1017.3299	573	
1019.0123	558	
1020.6942	563	
1022.3758	539	
1024.057	539	
1025.7378	536	
1027.4182	549	
1029.0983	545	
1030.778	537	
1032.4573	535	
1034.1361	533	
1035.8147	510	
1037.4928	527	
1039.1705	531	
1040.8479	546	
1042.5249	557	
1044.2015	544	
1045.8778	521	
1047.5537	551	
1049.2291	519	
1050.9042	546	
1052.579	536	
1054.2533	532	
1055.9272	527	
1057.6008	534	
1059.274	540	
1060.9468	531	
1062.6179	516	
1064.2899	530	
1065.9617	544	
1067.6329	534	
1069.3038	519	
1070.9744	523	
1072.6445	531	
1074.3143	546	
1075.9838	531	
1077.6527	525	
1079.3214	533	
1080.9896	541	
1082.6576	543	
1084.3251	546	
1085.9908	531	
1087.6576	529	
1089.324	535	
1090.99	547	
1092.6556	539	
1094.3209	536	
1095.9857	543	
1097.6503	542	
1099.3143	548	
1100.9768	552	
1102.6401	552	
1104.3031	556	
1105.9658	550	
1107.6281	543	
1109.2899	554	
1110.9513	527	
1112.6124	537	
1114.2719	531	
1115.9323	540	
1117.5922	529	
1119.2518	543	
1120.911	528	
1122.5699	526	
1124.2271	531	
1125.8851	530	
1127.5428	530	
1129.2003	533	
1130.8573	527	
1132.5139	533	
1134.1688	554	
1135.8246	520	
1137.4801	531	
1139.1353	535	
1140.79	541	
1142.443	532	
1144.097	513	
1145.7506	520	
1147.4039	506	
1149.0568	518	
1150.708	509	
1152.3601	509	
1154.0118	514	
1155.6632	507	
1157.313	514	
1158.9636	517	
1160.6139	513	
1162.2638	508	
1163.912	526	
1165.5612	525	
1167.21	520	
1168.8583	507	
1170.505	517	
1172.1527	508	
1173.8	500	
1175.4469	516	
1177.0922	509	
1178.7384	527	
1180.3842	501	
1182.0297	499	
1183.6735	521	
1185.3181	521	
1186.9625	521	
1188.6051	513	
1190.2488	515	
1191.892	512	
1193.5348	512	
1195.176	508	
1196.8181	513	
1198.4598	514	
1200.1	508	
1201.741	518	
1203.3816	499	
1205.0205	504	
1206.6605	498	
1208.3	522	
1209.9379	510	
1211.5767	520	
1213.2151	507	
1214.8519	505	
